"identifier","alternative_identifiers","country","continent","region","culture","epoch","group","comment","latitude","longitude","sex","site","site_detail","mt_hg","ychr_hg","year_from","year_to","date_detail","bp","c14_lab_code","reference_names","reference_links","reference_data_links","c14_sample_tag","c14_layer_tag","avg_coverage","sequence_source","ychr_snps"
"I1496","HUNG352,NE6","Hungary","Europe","Pannonia","Linear Pottery","Neolithic","LBK","",47.17,19.83,"M","Apc-Berekalya","Site I","K1a3a3","C1a2",-5211,-4992,"5211-4992 calBCE (6135±33 BP, MAMS-14821)","6135±33","MAMS-14821","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"bam","C1a2:V20:6845955G->A,C1a2:Z28835:13200044G->T,C1:CTS6773:17100606C->T,C:CTS2955:14587658T->C,C:CTS6266:16780809G->A,C:CTS7301:17412198T->C,C:CTS10720:22726491C->T,C:CTS11598:23185632A->G,C:F847:6879365C->T,C:F1029:7629098T->C,C:F1804:14603298C->T,C:F2678:18030738C->T,C:F3043:19411754G->A,C:F3395:23031841G->A,C:F3703:16409159C->A,C:Y1767:21186558A->G,C:Z3958:7869808C->T,C:Z3986:9076205C->T,C:Z4099:22168468A->G,C1a2:Y10458:14400573C->A,C1a2:Y11417:16912050A->G,C1a2:Z28838:13670713A->T,C1a:CTS11043:22914979G->T,C1:F3393:23023974C->A,C:CTS3223:14755880C->T,C:CTS6492:16932181C->T,C:CTS11544:23158264C->G,C:CTS11820:23294948T->C,C:F1044:7671399A->G,C:F1288:8537273G->A,C:F1367:8640245C->G,C:F1727:14206892C->T,C:F1911:15097043C->T,C:F2253:16757900C->T,C:F2434:17270957A->C,C:F2449:17341195G->T,C:F2606:17820514C->T,C:F2869:18843140C->T,C:F2888:18890063C->T,C:F2969:19182853C->G,C:F3319:22575539A->G,C:F3462:23553006C->T,C:F3537:23769373A->G,C:F3712:17957903T->C,C:M130:2734854C->T,C:Y2798:13865051G->T,C:Y2799:21875538T->C,C:Y6691:15896404A->G,C:Z3977:8673832C->T,C:Z4004:13228027G->T,C:Z4014:13656195T->A,C:Z4083:21809035G->A,C:Z7177:8668533C->T,C1a2:V2185:8531334T->A,C1a2:V2618:14820317A->G,C1a2:V3163:15831202C->T,C1a2:Y11346:7952824C->T,C1a2:Y11370:13831985T->A,C1a2:Y11431:17666147C->T,C1a2:Y12186:18110362T->C,C:CTS2377:14281450G->A,C:CTS3151:14685840C->T,C:CTS5813:16490115G->A,C:CTS7930:17748163T->C,C:F1217:8454895T->C,C:IMS-JST029149:2803297C->T,C:P260:17286006A->C,C:Y4496:8127435A->G,C1a2:V1876:8395859A->C,C1a2:Y11375:14150505A->G,C1a2:Y11405:16567209G->C,C1a2:Y11434:17689221T->A,C:CTS10442:19457443A->G,C:F1871:14954047C->T,C:F2858:18832816T->C,C:CTS10271:19361507G->A,C:F2485:17457010C->T,C:CTS4934:15909160C->T,C:F2501:17495224A->T,C:M216:15437564C->T,C1a2:Y11390:15679297A->C,C1a2:Y11456:19077475G->A,C1a2:Y11469:21366348T->C,C1a2:V2722:14971974T->C,C1a2:Y10480:21990320A->G,C1a2:Y11359:8877530C->T,C1a2:Y11492:22672353T->C,C1a2:Y11588:8453411C->T,C1a2:Z28789:7811623T->G,C:CTS9611:18990246G->T"
"I1497","HUNG353,CO1","Hungary","Europe","Pannonia","Baden","Copper Age","BAD","",47.17,19.83,"F","Apc-Berekalya","Site I","H","",-2900,-2700,"2900-2700 calBCE (4421±27 BP, MAMS-14825)","4421±27","MAMS-14825","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>",""
"I1498","HUNG302,NE2","Hungary","Europe","Pannonia","Linear Pottery","Neolithic","LBK","ALPc_MN",47.52,21.59,"F","Debrecen Tocopart Erdoalja","","H","",-5291,-5056,"5291-5056 calBCE (6207±30 BP, OxA-27858)","6207±30","OxA-27858","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>",""
"I1499","HUNG86,NE3","Hungary","Europe","Pannonia","Bükk","Neolithic","LBK","",48.52,21.17,"F","Garadna","","X2b-T226C","",-5210,-5010,"5210-5010 calBCE (6185±34 BP, OxA-27732)","6185±34","OxA-27732","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>",""
"I1500","HUNG372,NE5","Hungary","Europe","Pannonia","Linear Pottery","Neolithic","LBK","ALPc_MN",47.17,20.83,"M","Kompolt-Kigyoser","","J1c1","C1a2",-5210,-4990,"5210-4990 calBCE (6164±64 BP, OxA-23763)","6164±64","OxA-23763","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>","C1a2:V20:6845955G->A,C1a2:Y11342:7688365C->T,C1a2:Z28835:13200044G->T,C1:CTS6773:17100606C->T,C:CTS6266:16780809G->A,C:CTS7301:17412198T->C,C:CTS11598:23185632A->G,C:F847:6879365C->T,C:F1029:7629098T->C,C:F1804:14603298C->T,C:F2678:18030738C->T,C:F3043:19411754G->A,C:F3395:23031841G->A,C:F3703:16409159C->A,C:Y1767:21186558A->G,C:Z3958:7869808C->T,C:Z3986:9076205C->T,C:Z4099:22168468A->G,C1a2:Y10458:14400573C->A,C1a2:Y11594:21183344G->A,C1a2:Z28838:13670713A->T,C1a:CTS11043:22914979G->T,C:CTS3223:14755880C->T,C:CTS5958:16574499A->C,C:CTS6492:16932181C->T,C:CTS10534:19525421C->T,C:CTS11544:23158264C->G,C:CTS11820:23294948T->C,C:F1044:7671399A->G,C:F1288:8537273G->A,C:F1367:8640245C->G,C:F1727:14206892C->T,C:F1911:15097043C->T,C:F2253:16757900C->T,C:F2434:17270957A->C,C:F2449:17341195G->T,C:F2606:17820514C->T,C:F2869:18843140C->T,C:F2888:18890063C->T,C:F2969:19182853C->G,C:F3319:22575539A->G,C:F3462:23553006C->T,C:F3537:23769373A->G,C:F3719:22937380C->A,C:Y2798:13865051G->T,C:Y2799:21875538T->C,C:Y6691:15896404A->G,C:Z3977:8673832C->T,C:Z4004:13228027G->T,C:Z4082:21797986T->A,C:Z4083:21809035G->A,C:Z7177:8668533C->T,C1a2:V219:6664018T->C,C1a2:V2185:8531334T->A,C1a2:V2618:14820317A->G,C1a2:V3163:15831202C->T,C1a2:V3703:19035347G->A,C1a2:Y10470.1:17711347A->G,C1a2:Y10477:21310679T->C,C1a2:Y11346:7952824C->T,C1a2:Y11370:13831985T->A,C1a2:Y11383:14810634T->C,C1a2:Y11402:16407947G->A,C1a2:Y11431:17666147C->T,C1a2:Y11474:21771914C->T,C1a2:Y12186:18110362T->C,C:CTS2377:14281450G->A,C:CTS3151:14685840C->T,C:CTS5813:16490115G->A,C:CTS7930:17748163T->C,C:CTS10083:19246276T->A,C:CTS10707:22714249G->A,C:CTS10782:22775162C->A,C:CTS12472:28588986G->T,C:F1030:7638779A->C,C:F1217:8454895T->C,C:F2305:16871809C->A,C:F2803:18663706C->G,C:IMS-JST029149:2803297C->T,C:P260:17286006A->C,C:Y4496:8127435A->G,C:Z3981:8822474C->A,C:Z4090:21950315G->T"
"I1502","HUNG370,BR1","Hungary","Europe","Pannonia","Makó","Bronze Age","BAHu","",47.17,20.83,"F","Kompolt-Kigyoser","","K1c1","",-2190,-1980,"2190-1980 calBCE (3686±28 BP, OxA-23799)","3686±28","OxA-23799","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"bam",""
"I1504","HUNG381,BR2","Hungary","Europe","Pannonia","Kyjatice","Bronze Age","BAHu","",47.82,19.95,"M","Ludas-Varju-Dulo","","K1a1a","J2a1",-1270,-1110,"1270-1110 calBCE (2769±24 BP, OxA-27859)","2769±24","OxA-27859","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"bam","J:CTS687:6953311A->T,J:CTS1250:7296343G->T,J:CTS3732:15138096A->G,J:CTS5628:16401405C->G,J:CTS5678:16427564A->T,J:CTS7229:17367321C->A,J:CTS10858:22808236G->A,J:CTS11571:23163701C->A,J:F1167:8393499G->A,J:F1181:8418927G->C,J:F1826:14705645G->A,J:F2116:16268345C->G,J:F2502:17495914G->A,J:F2746:18257026G->A,J:F3119:21097847C->T,J:F4300:21144433T->A,J:FGC1599:21923739A->T,J:L60:14237131C->T,J:P209:19179335T->C,J:PF4505:7065239T->C,J:PF4513:7759610C->T,J:PF4519:8669451C->G,J:PF4524:10009851G->Ahet,J:PF4530:13597365C->T,J:PF4572:17996247A->G,J:PF4575:18410799A->G,J:PF4595:21858778C->A,J:S22619:21144432C->A,J:CTS5934:16562707C->T,J:CTS7483:17502703T->A,J:CTS8974:18588650A->G,J:CTS12047:23443976A->G,J:F1744:14264859G->A,J:F2973:19194316C->T,J:F4299:21144431T->A,J:FGC1604:10038100G->A,J:FGC3271:10038717G->A,J:PF4521:9815201T->C,J:PF4591:21281892C->A,J:PF4619:23251880A->C,J:CTS7832:17693210A->G,J:CTS5545.1:16352755C->T,J:CTS9533:18950820C->A,J:PF4515:8308114G->A,J2a1:L26:22942897T->C,J:PF4492:3999212C->T"
"I1505","PF839/1198,NE4","Hungary","Europe","Pannonia","Linear Pottery","Neolithic","LBK","ALPc_MN",47.88,21.19,"F","Polgar Ferenci hat","","J1c5","",-5211,-5011,"5211-5011 calBCE (6153±33 BP, OxA-28020)","6153±33","OxA-28020","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>",""
"I1506","PF325,NE1","Hungary","Europe","Pannonia","Linear Pottery","Neolithic","LBK","ALPc_MN",47.88,21.19,"F","Polgar Ferenci hat","","U5b2c","",-5306,-5071,"5306-5071 calBCE (6237±32 BP, OxA-27861)","6237±32","OxA-27861","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"<NA>",""
"I1507","HUNG345a,KO1","Hungary","Europe","Pannonia","Körös","Neolithic","LBK","",47.93,21.2,"M","Tiszaszolos-Domahaza","","R1b1","I2a1",-5780,-5640,"5780-5640 calBCE (6835±34 BP, OxA-23757)","6835±34","OxA-23757","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"bam","I:CTS48:2688442T->A,I:CTS674:6943522C->T,I:CTS1800:14073053G->A,I:CTS2387:14286853T->C,I:CTS2514:14337364T->C,I:CTS4088:15389836T->C,I:CTS4209:15479899T->A,I:CTS5764:16471254A->G,I:CTS6265:16780748C->G,I:CTS7469:17497181C->A,I:CTS7502:17511797A->G,I:CTS7831:17692855T->A,I:CTS8420:18018313C->A,I:CTS8963:18582617C->T,I:CTS10058:19233673A->G,I:CTS10941:22845794A->G,I:FGC2413:8262092C->T,I:FGC2415:13835003T->C,I:FI2:8382265C->G,I:L503:21359407C->G,I:L578:8267857G->A,I:L758:8536868C->G,I:PF3627.2:6662712C->T,I:PF3640:7681156T->A,I:PF3641:7688470T->C,I:PF3660:8466652G->A,I:PF3661:8484606C->A,I:PF3665:8643763A->G,I:PF3794:21067903C->T,I:CTS6231:16751000C->T,I:FI4:8873160G->T,I2:PF3664:8567995G->A,I:CTS3517:14986989T->G,I:CTS4340:15595624G->A,I:CTS5946:16567253A->G,I:CTS8876:18257568G->A,I:M1460:21862684A->C,I:P212:3545070T->A,I:PF3800:21402723A->G,I:PF3814:21839183A->G,I:PF3815:21841289G->T,I:PF3829:22458740A->G,I:PF3836:22525421T->G,I:Z16987:22243817A->G,I2a1:P37.2:14491684T->C,I2a:L460:7879415A->C,I:CTS646:6926038T->A,I:CTS4848:15862842C->T,I:CTS7593:17548890G->A,I:FI3:8485677C->A,I:PF3828:22458430C->T,I:CTS8545:18078759T->A,I:L755:8465165C->T,I:PF3803:21452125A->G,I:Z16985:13804066G->Chet,I:FGC2412:21689728A->Ghet"
"I1508","HUNG276,KO2","Hungary","Europe","Pannonia","Körös","Neolithic","LBK","",47.32,21.53,"F","Berettyóújfalu-Morotva-Liget","","K1a","",-5710,-5570,"5710-5570 calBCE (6726±35 BP, OxA-28101)","6726±35","OxA-28101","Gamba et al. 2014","https://dx.doi.org/10.1038/ncomms6257","https://www.ncbi.nlm.nih.gov/sra?term=SRP039766","1","0",0.0,"bam",""
"I1530","ROT1","Germany","Europe","central Europe","Bell Beaker","Copper Age","BBC","1d_rel_I0111",51.45,11.54,"M","Rothenschirmbach","","H3ao","R1b1a1a2",-2458,-2140,"2458-2140 calBCE (3818±48 BP, Er-8715)","3818±48","Er-8715","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","1","0",0.0,"<NA>",""
"I1532","ESP8","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","J1c2e","R1a1a",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","R1a1a:L168:16202177A->G,R:CTS3622:15078469C->G,R:F459:18017528G->T,R:L1347:22818334C->T,R1:L875:16742224A->G,R:CTS8311:17930099C->A,R1a1a:M512:16315153C->T,R1a1:L122:16520444T->A,R1a:L63:18162834T->C,R1:CTS997:7132713G->A,R1:M306:22750583C->A,R1:P231:9989615A->G,R:F63:7177189G->A,R:FGC1168:15667208G->C,R:M734:18066156C->T,R:M760:21219443A->G"
"I1534","ESP14","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","K1a1b2a","R",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"<NA>","R:L1347:22818334C->T,R:M734:18066156C->T"
"I1536","ESP17","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","U5a1g","R1a",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"<NA>","R1a:L62:17891241A->G,R:P227:21409706G->C"
"I1538","ESP20","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","J1c5","R1a",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","R1:CTS5611:16394489T->G,R1:L875:16742224A->G,R1a:L62:17891241A->G,R:M760:21219443A->G"
"I1539","ESP25","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"F","Esperstedt","","J1c1b1a","",-2625,-2291,"2625-2291 calBCE (3967±57 BP, Er-7779)","3967±57","Er-7779","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","1","0",0.0,"bam",""
"I1540","ESP28","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","J1c5","R1a1",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","R1:L875:16742224A->G,R:CTS8311:17930099C->A,R:P224:17285993C->T,R1a:L62:17891241A->G,R:CTS2913:14561760A->G,R:CTS10663:22687547A->T"
"I1541","ESP32","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","U2e1a1","R1a",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","L62"
"I1542","ESP33","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","J2a2a","R",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","R:CTS5815:16491135C->T,R:F63:7177189G->A"
"I1544","ESP36","Germany","Europe","central Europe","Corded Ware","Neolithic","CWC","",51.42,11.68,"M","Esperstedt","","K2b2","R1a",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam","R1:L875:16742224A->G,R1a:L63:18162834T->C,R1a:L146:23473201T->A,R:CTS7880:17723850C->T,R:F33:6701239G->A,R:F356:16629782T->C"
"I1546","BZH2","Germany","Europe","central Europe","Bell Beaker","Copper Age","BBC","",51.82,10.91,"F","Benzingerode-Heimburg","","U5a1b1","",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"<NA>",""
"I1549","BZH15","Germany","Europe","central Europe","Bell Beaker","Copper Age","BBC","",51.82,10.91,"F","Benzingerode-Heimburg","","W1c1","",-2500,-2050,"2500-2050 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"<NA>",""
"I1550","HAL19","Germany","Europe","central Europe","Linear Pottery","Neolithic","LBK","",51.9,11.05,"F","Halberstadt-Sonntagsfeld","","K1a2","",-5500,-4850,"5500-4850 BCE","","","Lipson et al. 2017","https://dx.doi.org/10.1038/nature24476","https://www.ebi.ac.uk/ena/data/view/PRJEB22629","0","0",0.0,"bam",""
"I1553","10388A,4304","Spain","Europe","Iberia","Bell Beaker","Copper Age","BBC","",41.49194444,2.138888889,"F","Paris Street, Cerdanyola, Barcelona","","pre-H103","",-2850,-2250,"2850-2250 BCE","","","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","0","0",10.6166,"bam",""
"I1579","M13-72","Turkey","Asia","Anatolia","Anatolia_Neolithic","Neolithic","NENE","",40.3,29.57,"F","Barcın, Marmara Region, Northwest Anatolia","","K1a-C150T","",-6500,-6200,"6500-6200 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam",""
"I1580","L12-393","Turkey","Asia","Anatolia","Anatolia_Neolithic","Neolithic","NENE","",40.3,29.57,"F","Barcın, Marmara Region, Northwest Anatolia","","H5","",-6500,-6200,"6500-6200 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam",""
"I1581","L12-502","Turkey","Asia","Anatolia","Anatolia_Neolithic","Neolithic","NENE","",40.3,29.57,"F","Barcın, Marmara Region, Northwest Anatolia","","U3","",-6500,-6200,"6500-6200 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam",""
"I1583","L14-200","Turkey","Asia","Anatolia","Anatolia_Neolithic","Neolithic","NENE","",40.3,29.57,"M","Barcın, Marmara Region, Northwest Anatolia","","K1a2","G2a2a1a2a",-6426,-6236,"6426-6236 calBCE (7460±50 BP, Poz-82231)","7460±50","Poz-82231","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","1","0",0.0,"bam","G2a2:CTS4367:15615340C->G,G2a:CTS6630:17022002C->T,G2a:F2529:17571517A->G,G2a:F3088:20813445G->A,G2a:F4086:7727677C->T,G2a:L31:14028148C->A,G2a:M3393:21493984G->T,G2a:M3397:21605685G->C,G2a:M3408:22109159G->C,G2a:P15:23244026C->T,G2a:PF3141:23973594T->G,G2:CTS1900:14116322T->A,G2:CTS2406:14294068C->T,G2:CTS10089:19248446G->A,G2:F1239:8482393C->T,G2:F1294:8545324T->A,G2:F1393:8719593G->A,G2:F3070:19493301A->G,G2:F3198:21401188G->T,G2:F3220:21637589G->C,G2:F3536:23768744C->T,G2:L89:7978725C->T,G2:P287:22072097G->T,G:CTS34:2681740G->A,G:CTS175:2785630A->T,G:CTS1013:7145960C->T,G:CTS1283:7309873T->G,G:CTS2271:14243137C->T,G:CTS2357:14273557C->T,G:CTS2506:14333087C->A,G:CTS4238:15504804C->T,G:CTS4761:15802681C->T,G:CTS4887:15888550C->T,G:CTS5699:16439267G->A,G:CTS6957:17210745C->T,G:CTS7092:17281783G->A,G:CTS7674:17610571G->A,G:CTS8023:17798903T->C,G:CTS9011:18615020A->T,G:CTS9593:18979775T->A,G:CTS10026:19215139A->T,G:CTS10723:22730922C->G,G:CTS10945:22848965A->G,G:CTS11228:23023554C->A,G:CTS11331:23074190A->G,G:CTS11529:23151673T->C,G:CTS11911:23346582A->C,G:CTS13035:28783924C->A,G:F1131:8240725C->T,G:F1383:8700380C->T,G:F1551:9448354A->G,G:F2076:16185081A->G,G:L116:14989721C->G,G:L382:14469411C->A,G:L522:17533325A->C,G:L770:2863466A->T,G:L837:17853245A->G,G:M3258:7992031T->C,G:M3432:23578115C->G,G:M3450:6931141C->G,G:M3468:7744050T->C,G:M3472:7899682T->C,G:M3473:7927218C->T,G:M3474:7930724C->A,G:M3479:8231862G->C,G:M3480:8327892T->A,G:M3482:8454233G->A,G:M3485:8563874C->T,G:M3486:8600158A->T,G:M3593:21648433C->G,G:M3597:21865624G->A,G:M3599:21939157G->A,G:M3609:22651339C->T,G:M3628:23793740C->A,G:P257:14432928G->A,G:PF2918:13679469G->A,G:PF2920:13824120T->G,G:PF2952:14577177G->A,G:PF3045:20823823C->T,G:PF3134:15275200C->G,G:S1435:13658486C->Ghet,G:U21:15204710A->C,G:Z3262:13676268G->A,G2a:Z3240:10060449A->G,G2:CTS4264:15528792T->C,G2:CTS4703:15776024C->T,G2:CTS6316:16817402C->T,G2:CTS6742:17088129G->C,G2:CTS9885:19119067C->T,G2:F1189:8427005A->G,G2:F1647:9907842G->T,G2:F2319:16903051A->T,G2:F3226:21663882C->A,G2:L156:17174741A->T,G2:M3465:7571775G->T,G2:M3493:9443697G->A,G2:PF2909:13205148A->G,G2:PF3119:23739606G->T,G2:Y380:28799209T->Chet,G:CTS373:6716150T->C,G:CTS995:7132348G->C,G:CTS1612:13987230A->G,G:CTS2120:14188094G->T,G:CTS2136:14195292A->G,G:CTS2215:14220356G->A,G:CTS2517:14338503C->T,G:CTS4101:15397649A->G,G:CTS4523:15693336G->A,G:CTS4749:15797043A->G,G:CTS5317:16203361G->C,G:CTS5414:16261165C->T,G:CTS5504:16325291T->C,G:CTS5640:16408569G->A,G:CTS6483:16929270C->T,G:CTS9710:19033112G->A,G:CTS9894:19124322A->T,G:CTS10721:22729194C->T,G:CTS11294:23059496G->A,G:CTS11907:23343857C->G,G:L154:8614138T->G,G:L402:15204708T->G,G:M3264:8318375G->T,G:M3266:8422993T->A,G:M3274:8865637G->A,G:M3464:7537950C->T,G:M3466:7614386G->A,G:M3470:7830068T->C,G:M3471:7840218C->A,G:M3481:8387539G->A,G:M3580:21162869C->G,G:M3582:21334507G->T,G:M3585:21412501G->A,G:M3586:21447363A->G,G:M3627:23782951G->A,G:Page94:2846401C->T,G:PF2836:6478903G->A,G:PF2956:14993358A->G,G2a:CTS6026:16620480C->T,G2a:CTS6753:17090976C->T,G2a:F1980:15660640C->T,G2:CTS4242:15507383T->C,G2:CTS5666:16424034C->T,G:CTS1010:7143549C->T,G:CTS4479:15667235G->A,G:CTS5757:16469840A->G,G:CTS9707:19030998C->A,G:CTS10706:22714204G->T,G:CTS11400:23095144A->G,G:M3477:8121059G->A,G:M3487:8602816G->C,G:M3595:21671839C->T,G2a2a1a2a:PF3237:17017831G->A,G2a2a1a2a:PF3238:17256431G->A,G2a2a1a2:L91:21645555G->C,G2a2a1:PF3170:18090604G->A,G2a2a:PF3147:7738069G->A,G2a2a:PF3159:14815695C->G,G2a2a:PF3181:21808944C->A,G2a2a:PF3184:22576860C->T,G2a2a:PF3185:22894488C->T,G:CTS827:7038432C->G,G2a2a1a2:PF3233:8895958T->C,G2a2a1:PF3155:14006343T->C,G2a2a1:PF3160:14926732C->T,G2a2a1:S11769:8648696C->T,G2a2a:PF3149:7943188A->G,G2a2a:PF3175:18962113C->T,G2a2a:Z6178:7245721G->A,G:S8863:4179056G->A,G2a2a1a2:S19852:17531217C->T,G2a2a1a:PF3177:21327198C->T,G2a2a1:FGC2268:22120867G->A,G2a2a1:S11510:8471941G->A,G2a2a1:S15710:14254785T->G,G2a2a1:S17801:15998373A->G,G2a2a:PF3150:8476569T->C,G2a2a:PF3151:9785736A->G,G2a:CTS1879:14108344G->A,G2a:CTS9318:18819146T->A,G2a:CTS11463:23122426G->A,G2:CTS4136:15421357G->A,G2:CTS4413:15635425T->Chet,G2:CTS11196:23005701T->A,G2:F3344:22697266G->Ahet,G2:M3579:21147058A->Ghet,G:CTS282:2871867A->G,G:CTS692:6955839A->Ghet,G:CTS2125:14190447A->Ghet,G:CTS2251:14235140C->Thet,G:CTS5658:16419934T->C,G:CTS6073:16651032G->A,G:CTS7269:17393643T->Chet,G:CTS10393:19434150G->T,G:CTS12654:28658660G->Thet,G:M3248:7565637G->A,G:M3257:7991847G->A,G:M3476:8064458A->G,G:M3490:8742700A->G,G:PF2901:9523592C->A"
"I1584","M10-11","Turkey","Asia","Near East","Anatolia_Chalcolithic","Copper Age","CACA","",40.3,29.56666667,"F","Barcın, Marmara Region, Northwest Anatolia","","K1a17","",-3943,-3708,"3943-3708 calBCE (5016±31 BP, OxA-32776)","5016±31","OxA-32776","Lazaridis et al. 2016","https://dx.doi.org/10.1038/nature19310","https://www.ebi.ac.uk/ena/data/view/PRJEB14455","1","0",0.0,"<NA>",""
"I1585","M11-59","Turkey","Asia","Anatolia","Anatolia_Neolithic","Neolithic","NENE","",40.3,29.57,"F","Barcın, Marmara Region, Northwest Anatolia","","J1 or J1c","",-6500,-6200,"6500-6200 BCE","","","Mathieson et al. 2015","https://dx.doi.org/10.1038/nature16152","https://www.ebi.ac.uk/ena/data/view/PRJEB11450","0","0",0.0,"bam",""
"I1631","AR1/43C","Armenia","Asia","Caucasus","Armenia_Chalcolithic","Copper Age","CACA","",39.73,45.2,"F","Areni","","K1a8","",-4250,-4050,"4250-4050 calBCE (5323±30 BP, OxA-19332)","5323±30","OxA-19332","Lazaridis et al. 2016","https://dx.doi.org/10.1038/nature19310","https://www.ebi.ac.uk/ena/data/view/PRJEB14455","1","0",0.0,"<NA>",""
"I1632","AR1/46","Armenia","Asia","Caucasus","Armenia_Chalcolithic","Copper Age","CACA","",39.73,45.2,"M","Areni","","K1a8","L1a1",-4230,-4000,"4230-4000 calBCE (5285±29 BP, OxA-18599)","5285±29","OxA-18599","Lazaridis et al. 2016","https://dx.doi.org/10.1038/nature19310","https://www.ebi.ac.uk/ena/data/view/PRJEB14455","1","0",0.0,"<NA>",""
